epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,8829.67,0.68263,0.3365,0.86726,0.91656,0.90485,0.92598,0.60137,1.20366,0.49939,1.17129,0.004654,0.004654,0.004654
137,8893.4,0.6821,0.33654,0.86693,0.9139,0.90695,0.92471,0.59982,1.20058,0.49756,1.16958,0.0046144,0.0046144,0.0046144
138,8956.86,0.67799,0.33437,0.86697,0.915,0.91003,0.92713,0.6001,1.20085,0.49805,1.17167,0.0045748,0.0045748,0.0045748
139,9020.62,0.67974,0.33637,0.86435,0.91708,0.90885,0.93084,0.60316,1.20133,0.49722,1.17306,0.0045352,0.0045352,0.0045352
140,9084.1,0.67089,0.33121,0.86267,0.91559,0.91405,0.931,0.60389,1.20047,0.49701,1.17368,0.0044956,0.0044956,0.0044956
141,9147.83,0.67293,0.33113,0.86577,0.91223,0.91229,0.93021,0.60278,1.20152,0.49752,1.17417,0.004456,0.004456,0.004456
142,9211.56,0.67069,0.33281,0.86533,0.91304,0.9094,0.93088,0.60421,1.20405,0.4957,1.17724,0.0044164,0.0044164,0.0044164
143,9275.07,0.66644,0.32978,0.86283,0.90891,0.90859,0.93003,0.60239,1.20298,0.49918,1.17438,0.0043768,0.0043768,0.0043768
144,9338.96,0.66215,0.32834,0.86457,0.91171,0.90652,0.93068,0.60356,1.20106,0.49716,1.1758,0.0043372,0.0043372,0.0043372
145,9402.58,0.66078,0.3306,0.86397,0.90964,0.90953,0.93152,0.60483,1.20315,0.49828,1.17665,0.0042976,0.0042976,0.0042976
146,9466.03,0.66102,0.32907,0.86296,0.91196,0.90893,0.929,0.60376,1.20216,0.49799,1.1785,0.004258,0.004258,0.004258
147,9529.83,0.65258,0.32465,0.86003,0.91265,0.90529,0.93025,0.60195,1.20496,0.49784,1.18204,0.0042184,0.0042184,0.0042184
148,9593.34,0.65125,0.32485,0.86021,0.92211,0.89506,0.93078,0.60327,1.20192,0.49874,1.17916,0.0041788,0.0041788,0.0041788
